X,CH1,
Second,Volt,
-1.2666000e-01,-1.00000e-02,
-1.2664001e-01,-1.00000e-02,
-1.2661999e-01,-1.00000e-02,
-1.2660000e-01,-8.00000e-03,
-1.2658000e-01,-1.00000e-02,
-1.2656000e-01,-8.00000e-03,
-1.2654001e-01,-8.00000e-03,
-1.2652001e-01,-6.00000e-03,
-1.2650000e-01,-8.00000e-03,
-1.2648000e-01,-8.00000e-03,
-1.2646000e-01,-8.00000e-03,
-1.2644000e-01,-8.00000e-03,
-1.2642001e-01,-8.00000e-03,
-1.2640001e-01,-8.00000e-03,
-1.2638000e-01,-1.00000e-02,
-1.2636000e-01,-6.00000e-03,
-1.2634000e-01,-1.00000e-02,
-1.2632000e-01,-8.00000e-03,
-1.2630001e-01,-1.00000e-02,
-1.2627999e-01,-8.00000e-03,
-1.2626000e-01,-1.00000e-02,
-1.2624000e-01,-8.00000e-03,
-1.2622000e-01,-1.00000e-02,
-1.2620001e-01,-8.00000e-03,
-1.2618001e-01,-1.00000e-02,
-1.2616000e-01,-8.00000e-03,
-1.2614000e-01,-1.00000e-02,
-1.2612000e-01,-1.00000e-02,
-1.2610000e-01,-1.00000e-02,
-1.2608001e-01,-1.00000e-02,
-1.2606001e-01,-1.00000e-02,
-1.2604000e-01,-1.00000e-02,
-1.2602000e-01,-1.00000e-02,
-1.2600000e-01,-8.00000e-03,
-1.2598000e-01,-1.00000e-02,
-1.2596001e-01,-6.00000e-03,
-1.2594000e-01,-1.00000e-02,
-1.2592000e-01,-1.00000e-02,
-1.2590000e-01,-1.00000e-02,
-1.2588000e-01,-1.00000e-02,
-1.2586001e-01,-1.00000e-02,
-1.2584001e-01,-1.00000e-02,
-1.2582000e-01,-1.00000e-02,
-1.2580000e-01,-8.00000e-03,
-1.2578000e-01,-8.00000e-03,
-1.2576000e-01,-8.00000e-03,
-1.2574001e-01,-8.00000e-03,
-1.2571999e-01,-8.00000e-03,
-1.2570000e-01,-8.00000e-03,
-1.2568000e-01,-8.00000e-03,
-1.2566000e-01,-8.00000e-03,
-1.2564000e-01,-8.00000e-03,
-1.2562001e-01,-1.00000e-02,
-1.2560000e-01,-8.00000e-03,
-1.2558000e-01,-1.00000e-02,
-1.2556000e-01,-8.00000e-03,
-1.2554000e-01,-1.00000e-02,
-1.2552001e-01,-1.00000e-02,
-1.2550001e-01,-8.00000e-03,
-1.2548000e-01,-8.00000e-03,
-1.2546000e-01,-1.00000e-02,
-1.2544000e-01,-8.00000e-03,
-1.2542000e-01,-8.00000e-03,
-1.2540001e-01,-1.00000e-02,
-1.2537999e-01,-1.00000e-02,
-1.2536000e-01,-1.00000e-02,
-1.2534000e-01,-1.00000e-02,
-1.2532000e-01,-1.00000e-02,
-1.2530001e-01,-1.00000e-02,
-1.2528001e-01,-1.00000e-02,
-1.2526000e-01,-1.00000e-02,
-1.2524000e-01,-1.00000e-02,
-1.2522000e-01,-1.00000e-02,
-1.2520000e-01,-1.00000e-02,
-1.2518001e-01,-1.00000e-02,
-1.2516001e-01,-1.00000e-02,
-1.2514000e-01,-1.00000e-02,
-1.2512000e-01,-1.00000e-02,
-1.2510000e-01,-1.00000e-02,
-1.2508000e-01,-6.00000e-03,
-1.2506001e-01,-8.00000e-03,
-1.2503999e-01,-8.00000e-03,
-1.2502000e-01,-1.00000e-02,
-1.2499999e-01,-1.00000e-02,
-1.2498000e-01,-1.00000e-02,
-1.2496000e-01,-1.00000e-02,
-1.2494000e-01,-1.00000e-02,
-1.2491999e-01,-1.00000e-02,
-1.2489999e-01,-1.00000e-02,
-1.2487999e-01,-1.00000e-02,
-1.2486000e-01,-1.00000e-02,
-1.2484000e-01,-1.00000e-02,
-1.2482000e-01,-1.00000e-02,
-1.2479999e-01,-1.00000e-02,
-1.2477999e-01,-1.00000e-02,
-1.2475999e-01,-1.00000e-02,
-1.2474000e-01,-1.00000e-02,
-1.2472000e-01,-8.00000e-03,
-1.2469999e-01,-1.00000e-02,
-1.2467999e-01,-8.00000e-03,
-1.2465999e-01,-1.00000e-02,
-1.2464000e-01,-8.00000e-03,
-1.2462000e-01,-1.00000e-02,
-1.2460000e-01,-8.00000e-03,
-1.2457999e-01,-1.00000e-02,
-1.2455999e-01,-1.00000e-02,
-1.2453999e-01,-8.00000e-03,
-1.2452000e-01,-8.00000e-03,
-1.2450000e-01,-8.00000e-03,
-1.2447999e-01,-8.00000e-03,
-1.2445999e-01,-8.00000e-03,
-1.2443999e-01,-8.00000e-03,
-1.2441999e-01,-8.00000e-03,
-1.2440000e-01,-8.00000e-03,
