1,000	1,001	67,036	32,814
2,000	2,001	68,640	47,882
3,000	3,002	69,194	48,067
4,000	4,002	70,580	48,160
5,000	5,002	69,102	47,697
6,000	6,003	70,300	47,697
7,000	7,003	68,641	49,541
8,000	8,004	69,470	49,172
9,000	9,005	69,562	47,882
10,000	10,006	70,945	47,882
11,000	11,006	70,945	48,158
12,000	12,007	71,498	50,739
13,000	13,007	72,788	51,753
14,000	14,008	71,959	51,107
15,000	15,008	72,512	52,951
16,000	16,008	73,802	52,029
17,000	17,009	74,263	53,043
18,000	18,009	75,092	53,412
19,000	19,010	75,092	53,412
20,000	20,010	74,816	54,333
21,000	21,011	75,645	54,794
22,000	22,011	75,830	55,439
23,000	23,012	73,065	55,255
24,000	24,012	72,512	53,780
25,000	25,013	73,157	54,333
26,000	26,013	73,433	55,163
27,000	27,015	72,512	54,333
28,000	28,015	70,945	53,780
29,000	29,015	71,406	55,900
30,000	30,016	71,314	57,928
31,000	31,016	72,420	58,204
32,000	32,017	71,498	59,034
33,000	33,017	70,945	59,863
34,000	34,018	71,682	61,430
35,000	35,018	70,392	61,061
36,000	36,019	71,774	59,587
37,000	37,019	71,129	60,416
38,000	38,020	70,484	61,891
39,000	39,020	70,484	64,011
40,000	40,020	70,115	65,209
41,000	41,021	70,392	64,011
42,000	42,021	70,484	64,656
43,000	43,022	70,208	63,919
44,000	44,023	71,314	65,117
45,000	45,024	70,853	65,578
46,000	46,024	72,604	65,578
47,000	47,025	70,115	68,066
48,000	48,025	67,719	66,960
49,000	49,026	68,549	65,301
50,000	50,026	70,576	65,946
51,000	51,026	70,761	67,052
52,000	52,027	71,959	68,066
53,000	53,027	71,037	68,066
54,000	54,028	70,023	67,697
55,000	55,028	68,364	67,974
56,000	56,029	67,811	68,527
57,000	57,029	66,521	67,144
58,000	58,030	65,046	67,237
59,000	59,030	65,415	67,421
60,000	60,031	64,862	67,974
61,000	61,031	64,309	67,974
62,000	62,032	65,968	67,882
63,000	63,033	65,691	68,711
64,000	64,033	64,217	68,711
65,000	65,034	64,862	68,988
66,000	66,034	64,678	69,356
67,000	67,035	65,323	70,001
68,000	68,035	66,060	69,633
69,000	69,036	66,337	71,107
70,000	70,036	67,627	71,107
71,000	71,037	67,350	72,213
72,000	72,037	67,996	72,213
73,000	73,037	68,364	72,213
74,000	74,038	68,364	72,859
75,000	75,038	66,705	73,965
76,000	76,039	67,258	73,412
77,000	77,039	66,429	72,859
78,000	78,040	65,784	73,965
79,000	79,041	66,613	73,780
80,000	80,042	64,954	74,794
81,000	81,042	64,678	73,504
82,000	82,043	64,770	71,568
83,000	83,043	62,927	71,753
84,000	84,043	62,927	72,859
85,000	85,044	62,374	72,029
86,000	86,044	62,374	72,766
87,000	87,045	62,097	72,306
88,000	88,045	64,862	70,647
89,000	89,046	62,374	73,135
90,000	90,046	61,452	73,412
91,000	91,047	61,452	74,518
92,000	92,047	61,268	74,518
93,000	93,048	59,885	74,425
94,000	94,048	61,821	75,071
95,000	95,049	61,913	76,730
96,000	96,049	62,650	77,283
97,000	97,050	63,019	75,900
98,000	98,051	60,807	78,757
99,000	99,051	61,268	77,743
100,000	100,052	62,005	78,665
101,000	101,052	62,374	76,637
102,000	102,053	63,940	77,651
103,000	103,053	64,862	76,269
104,000	104,054	61,821	76,361
105,000	105,054	63,387	75,808
106,000	106,055	63,387	75,531
107,000	107,055	63,111	74,057
108,000	108,055	64,770	74,333
109,000	109,056	64,401	73,872
110,000	110,056	64,401	75,992
111,000	111,057	65,046	74,149
112,000	112,057	64,770	71,568
113,000	113,058	64,585	70,831
114,000	114,059	65,507	70,831
115,000	115,060	64,309	71,660
116,000	116,060	63,203	71,660
117,000	117,061	63,664	71,845
118,000	118,061	61,728	74,978
119,000	119,061	61,544	76,084
120,000	120,062	62,374	76,730
121,000	121,062	63,664	76,637
122,000	122,063	64,862	74,978
123,000	123,063	66,337	75,439
124,000	124,064	67,258	75,439
125,000	125,064	67,535	74,241
126,000	126,065	67,535	74,057
127,000	127,065	67,258	74,425
128,000	128,065	65,415	75,163
129,000	129,066	63,387	74,241
130,000	130,067	63,940	73,319
131,000	131,067	63,848	73,135
132,000	132,068	64,862	73,965
133,000	133,069	65,323	75,439
134,000	134,069	66,429	75,255
135,000	135,070	66,613	75,439
136,000	136,070	66,797	75,992
137,000	137,071	66,429	76,730
138,000	138,071	67,258	77,283
139,000	139,072	67,996	77,283
140,000	140,072	67,535	77,283
141,000	141,073	67,535	76,914
142,000	142,073	69,009	79,587
143,000	143,073	69,102	79,402
144,000	144,074	68,549	80,877
145,000	145,074	68,917	80,140
146,000	146,075	70,023	79,863
147,000	147,075	69,102	79,310
148,000	148,076	70,853	79,679
149,000	149,077	69,931	82,536
150,000	150,078	71,129	84,195
151,000	151,078	70,668	85,485
152,000	152,078	68,825	85,301
153,000	153,079	68,549	84,748
154,000	154,080	67,535	85,117
155,000	155,080	68,917	82,536
156,000	156,080	67,996	83,642
157,000	157,081	68,456	81,891
